,filename,label,number
0,6_79.jpg,1,6
1,6_92.jpg,1,6
2,9_28.jpg,1,9
3,8_1.jpg,1,8
4,6_93.jpg,1,6
5,6_108.jpg,1,6
6,8_2.jpg,1,8
7,6_47.jpg,1,6
8,6_94.jpg,1,6
9,8_85.jpg,1,8
10,9_13.jpg,1,9
11,6_95.jpg,1,6
12,6_42.jpg,1,6
13,5_39.jpg,1,5
14,6_97.jpg,1,6
15,6_96.jpg,1,6
16,8_50.jpg,1,8
17,6_55.jpg,1,6
18,5_38.jpg,1,5
19,5_63.jpg,1,5
20,8_23.jpg,1,8
21,9_106.jpg,1,9
22,9_113.jpg,1,9
23,5_62.jpg,1,5
24,5_76.jpg,1,5
25,5_48.jpg,1,5
26,6_25.jpg,1,6
27,9_105.jpg,1,9
28,9_104.jpg,1,9
29,6_24.jpg,1,6
30,6_30.jpg,1,6
31,6_18.jpg,1,6
32,8_21.jpg,1,8
33,5_65.jpg,1,5
34,8_19.jpg,1,8
35,6_20.jpg,1,6
36,8_111.jpg,1,8
37,9_71.jpg,1,9
38,9_114.jpg,1,9
39,9_4.jpg,1,9
40,5_70.jpg,1,5
41,5_64.jpg,1,5
42,5_66.jpg,1,5
43,8_26.jpg,1,8
44,9_6.jpg,1,9
45,9_72.jpg,1,9
46,9_99.jpg,1,9
47,6_22.jpg,1,6
48,5_67.jpg,1,5
49,5_56.jpg,1,5
50,6_12.jpg,1,6
51,8_17.jpg,1,8
52,5_80.jpg,1,5
53,5_43.jpg,1,5
54,5_57.jpg,1,5
55,5_69.jpg,1,5
56,5_82.jpg,1,5
57,8_29.jpg,1,8
58,8_109.jpg,1,8
59,5_102.jpg,1,5
60,9_41.jpg,1,9
61,9_83.jpg,1,9
62,9_54.jpg,1,9
63,6_11.jpg,1,6
64,5_40.jpg,1,5
65,5_87.jpg,1,5
66,6_15.jpg,1,6
67,9_44.jpg,1,9
68,9_78.jpg,1,9
69,9_45.jpg,1,9
70,9_51.jpg,1,9
71,6_14.jpg,1,6
72,5_84.jpg,1,5
73,6_16.jpg,1,6
74,5_110.jpg,1,5
75,9_53.jpg,1,9
76,9_91.jpg,1,9
77,9_52.jpg,1,9
78,9_46.jpg,1,9
79,6_58.jpg,1,6
80,8_49.jpg,1,8
81,8_9.jpg,1,8
82,8_74.jpg,1,8
83,6_98.jpg,1,6
84,6_101.jpg,1,6
85,6_115.jpg,1,6
86,8_88.jpg,1,8
87,6_100.jpg,1,6
88,8_77.jpg,1,8
89,5_37.jpg,1,5
90,5_33.jpg,1,5
91,6_89.jpg,1,6
92,6_0.jpg,1,6
93,9_27.jpg,1,9
94,5_32.jpg,1,5
95,6_75.jpg,1,6
96,6_107.jpg,1,6
97,6_112.jpg,1,6
98,8_59.jpg,1,8
99,5_31.jpg,1,5
